AltitudeVariation;VehicleSpeedInstantaneous;VehicleSpeedAverage;VehicleSpeedVariance;VehicleSpeedVariation;LongitudinalAcceleration;EngineLoad;EngineCoolantTemperature;ManifoldAbsolutePressure;EngineRPM;MassAirFlow;IntakeAirTemperature;VerticalAcceleration;FuelConsumptionAverage;roadSurface;traffic;drivingStyle
-1,599998474;22,5;39,76499891;195,209761;3,600000381;2,0948;47,45098114;40;103;1654;16,77000046;17;-1,8165;14,25191212;0;0;1
-1,800003052;25,19999886;40,0649989;180,7395925;2,699998856;2,1114;0;40;103;1627,5;15,97000027;17;-1,8985;14,31302547;0;0;0
-2,400001526;26,09999847;40,31999888;169,4629744;0,899999619;2,1117;0;40;103;1627,5;20,62999916;17;-1,9469;14,40961075;0;0;0
-1,900001526;25,19999886;40,52999887;160,2692461;-0,899999619;2,0704;0;40;102;1523,5;18,94000053;17;-1,9376;14,49988651;0;0;0
-1;23,39999962;40,61999887;156,6311109;-1,799999237;1,9866;70,58823395;41;102;1419,5;15,97000027;17;-1,8649;14,5790596;0;0;0
-0,900001526;23,39999962;40,64999889;155,5245679;0;2,0085;66,66666412;41;102;1574,5;20,69000053;17;-1,7107;14,67604065;2;0;0
-1,600006104;27;40,66499891;155,0941689;3,600000381;2,0424;46,27450943;41;114;1836;22,21999931;20;-1,6186;14,75893307;2;0;0
-1,199996948;30,59999847;40,6949989;154,424203;3,599998474;2,0737;24,31372643;41;111;1707,5;17,04999924;21;-1,5947;14,79065704;2;0;0
-1,600006104;30,59999847;40,67999887;154,7182289;0;2,0056;81,96078491;41;101;1317;11,88000011;19;-1,419;14,75879955;2;0;0
-1,900001526;31,5;40,67999887;154,7182289;0,900001526;1,9828;81,96078491;41;105;1386,5;17,87999916;18;-1,2689;14,79235268;2;0;0
-1,599998474;34,20000076;40,73999891;153,7041267;2,700000763;1,8659;70,58823395;41;108;1488,5;17,54999924;19;-1,1141;14,80793667;2;0;0
-1;36,89999771;40,81499891;152,7694231;2,699996948;1,7858;63,92156982;41;106;1568,5;17,61000061;19;-0,8984;14,81432152;2;0;0
-2,399997711;37,79999924;40,85999893;152,3678552;0,900001526;1,5259;66,66666412;41;109;1652;20,11000061;19;-0,8317;14,83439827;2;0;0
-2,800003052;40,5;40,94999895;151,7994822;2,700000763;1,2388;68,62744904;41;111;1752,5;20,44000053;20;-0,681;14,84472179;2;0;0
-3,200000763;43,19999695;41,03999891;151,7088719;2,699996948;0,9946;65,49019623;41;113;1835;21,61000061;21;-0,542;14,85652637;2;0;0
-2,599998474;45;41,17499895;151,6656261;1,800003052;1,0361;22,74509811;42;109;1801;24,37999916;21;-0,5749;14,88690567;2;0;0
-2,900001526;45,89999771;41,33999891;151,5624312;0,899997711;0,8498;0;42;106;1767,5;23,12999916;20;-0,5094;14,91563892;2;0;0
-2,999996185;44,09999847;41,48999891;151,0087023;-1,799999237;1,0422;0;42;105;1708;21,82999992;19;-0,4589;14,94231319;2;0;0
-2,399997711;42,29999924;41,5949989;150,4977618;-1,799999237;1,129;0;42;104;1626,5;20,86000061;19;-0,4566;14,96913147;2;0;0
-2,399997711;40,5;41,65499894;150,1408124;-1,799999237;1,2718;60;42;105;1633;16,82999992;19;-0,5348;14,96094704;2;0;0
